Element,Stages,Evolution,Number,Variation ,ID name, file 2d,Deliver,Priority,concept,2d final,3D Model,Texture,Rigging,Nice Names
Water,Seed,Egg,01,Common,W_S_Egg_01_Com,W_S_Egg_01_Com.psd,12-11-24,Started,Wip,,,,,
Water,Baby,Aquatic,01,Common,W_B_Aquatic_01_Com,W_B_Aquatic_01_Com.psd,21-11-24,Started,,,,,,
Water,Baby,Flight,01,Common,W_B_Flight_01_Com,W_B_Flight_01_Com.psd,21-11-24,Started,,,,,,
Water,Baby,Biped,01,Common,W_B_Biped_01_Com,W_B_Biped_01_Com.psd,21-11-24,Started,Wip,,,,,
Water,Baby,Quadruped,01,Common,W_B_Quadrup_01_Com,W_B_Quadrup_01_Com.psd,21-11-24,Started,Wip,,,,,
Water,Baby,Amphibian,01,Common,W_B_Amphibi_01_Com,W_B_Amphibi_01_Com.psd,21-11-24,Started,,,,,,
Water,Baby,Reptiles,01,Common,W_B_Reptile_01_Com,W_B_Reptile_01_Com.psd,21-11-24,Started,,,,,,
Water,Baby,Shell,01,Common,W_B_Shell_01_Com,W_B_Shell_01_Com.psd,21-11-24,Started,,,,,,
Water,Cub,Dragon,01,Common,W_C_Dragon_01_Com,,,,,,,,,
Water,Cub,Insect,01,Common,W_C_Insect_01_Com,,,,,,,,,
Water,Cub,Bug,01,Common,W_C_Bug_01_Com,,,,,,,,,
Water,Cub,Aquatic,01,Common,W_C_Aquatic_01_Com,,,,Wip,,,,,
Water,Cub,Salamander,01,Common,W_C_Salaman_01_Com,,,,,,,,,
Water,Cub,Frog,01,Common,W_C_Frog_01_Com,,,,,,,,,
Water,Cub,Turtle,01,Common,W_C_Turtle_01_Com,,,,,,,,,
Water,Cub,Nymph,01,Common,W_C_Nymph_01_Com,,,,Wip,,,,,
Water,Cub,Golem,01,Common,W_C_Golem_01_Com,,,,,,,,,
Water,Cub,Monster,01,Common,W_C_Monster_01_Com,,,,,,,,,
Water,Cub,Dog,01,Common,W_C_Dog_01_Com,,,,,,,,,
Water,Cub,Deer,01,Common,W_C_Deer_01_Com,,,,,,,,,
Water,Cub,Bear,01,Common,W_C_Bear_01_Com,,,,,,,,,
Water,Cub,Ape,01,Common,W_C_Ape_01_Com,,,,,,,,,
Water,Cub,Cat,01,Common,W_C_Cat_01_Com,,,,,,,,,
Water,Cub,Rabbit,01,Common,W_C_Rabbit_01_Com,,,,,,,,,
Water,Cub,Rodent,01,Common,W_C_Rodent_01_Com,,,,,,,,,
Water,Teen,Dragon,01,Common,W_T_Dragon_01_Com,,,,,,,,,
Water,Teen,Insect,01,Common,W_T_Insect_01_Com,,,,,,,,,
Water,Teen,Bug,01,Common,W_T_Bug_01_Com,,,,,,,,,
Water,Teen,Aquatic,01,Common,W_T_Aquatic_01_Com,,,,Wip,,,,,
Water,Teen,Salamander,01,Common,W_T_Salaman_01_Com,,,,,,,,,
Water,Teen,Frog,01,Common,W_T_Frog_01_Com,,,,,,,,,
Water,Teen,Turtle,01,Common,W_T_Turtle_01_Com,,,,Done,,,,,
Water,Teen,Nymph,01,Common,W_T_Nymph_01_Com,,,,Wip,,,,,
Water,Teen,Nymph,01,Crystal,W_T_Nymph_01_Cry,,,,,,,,,
Water,Teen,Golem,01,Common,W_T_Golem_01_Com,,,,,,,,,
Water,Teen,Monster,01,Common,W_T_Monster_01_Com,,,,,,,,,
Water,Teen,Dog,01,Common,W_T_Dog_01_Com,,,,Done,,,,,
Water,Teen,Deer,01,Common,W_T_Deer_01_Com,,,,,,,,,
Water,Teen,Bear,01,Common,W_T_Bear_01_Com,,,,,,,,,
Water,Teen,Ape,01,Common,W_T_Ape_01_Com,,,,,,,,,
Water,Teen,Cat,01,Common,W_T_Cat_01_Com,,,,,,,,,
Water,Teen,Rabbit,01,Common,W_T_Rabbit_01_Com,,,,,,,,,
Water,Teen,Rodent,01,Common,W_T_Rodent_01_Com,,,,,,,,,
Water,Adult,Dragon,01,Common,W_A_Dragon_01_Com,,,,,,,,,
Water,Adult,Insect,01,Common,W_A_Insect_01_Com,,,,,,,,,
Water,Adult,Bug,01,Common,W_A_Bug_01_Com,,,,,,,,,
Water,Adult,Aquatic,01,Common,W_A_Aquatic_01_Com,,,,Wip,,,,,
Water,Adult,Salamander,01,Common,W_A_Salaman_01_Com,,,,,,,,,
Water,Adult,Frog,01,Common,W_A_Frog_01_Com,,,,,,,,,
Water,Adult,Turtle,01,Common,W_A_Turtle_01_Com,,,,,,,,,
Water,Adult,Nymph,01,Common,W_A_Nymph_01_Com,,,,,,,,,
Water,Adult,Golem,01,Common,W_A_Golem_01_Com,,,,,,,,,
Water,Adult,Monster,01,Common,W_A_Monster_01_Com,,,,,,,,,
Water,Adult,Dog,01,Common,W_A_Dog_01_Com,,,,,,,,,
Water,Adult,Deer,01,Common,W_A_Deer_01_Com,,,,,,,,,
Water,Adult,Bear,01,Common,W_A_Bear_01_Com,,,,,,,,,
Water,Adult,Ape,01,Common,W_A_Ape_01_Com,,,,,,,,,
Water,Adult,Cat,01,Common,W_A_Cat_01_Com,,,,,,,,,
Water,Adult,Rabbit,01,Common,W_A_Rabbit_01_Com,,,,,,,,,
Water,Adult,Rodent,01,Common,W_A_Rodent_01_Com,,,,,,,,,
Void,Seed,Egg,01,Common,V_S_Egg_01_Com,V_S_Egg_01_Com.psd,21-11-24,Started,,,,,,
Void,Baby,Aquatic,01,Common,V_B_Aquatic_01_Com,,,,,,,,,
Void,Baby,Flight,01,Common,V_B_Flight_01_Com,V_B_Flight_01_Com.psd,12-12-24,,,,,,,
Void,Baby,Biped,01,Common,V_B_Biped_01_Com,V_B_Biped_01_Com.psd,05-12-24,Started,,,,,,
Void,Baby,Quadruped,01,Common,V_B_Quadrup_01_Com,V_B_Quadrup_01_Com.psd,12-12-24,,,,,,,
Void,Baby,Amphibian,01,Common,V_B_Amphibi_01_Com,V_B_Amphibi_01_Com.psd,12-12-24,,,,,,,
Void,Baby,Reptiles,01,Common,V_B_Reptile_01_Com,V_B_Reptile_01_Com.psd,12-12-24,,,,,,,
Void,Baby,Shell,01,Common,V_B_Shell_01_Com,V_B_Shell_01_Com.psd,12-12-24,,,,,,,
Void,Cub,Dragon,01,Common,V_C_Dragon_01_Com,,,,,,,,,
Void,Cub,Insect,01,Common,V_C_Insect_01_Com,,,,,,,,,
Void,Cub,Bug,01,Common,V_C_Bug_01_Com,,,,,,,,,
Void,Cub,Aquatic,01,Common,V_C_Aquatic_01_Com,,,,,,,,,
Void,Cub,Salamander,01,Common,V_C_Salaman_01_Com,,,,,,,,,
Void,Cub,Frog,01,Common,V_C_Frog_01_Com,,,,,,,,,
Void,Cub,Turtle,01,Common,V_C_Turtle_01_Com,,,,,,,,,
