ID,Name,Subplot and Relationship to Main Plot,Agenda/Motivations,Faction,groups,symbol,note,locations/presence
,,"there are 4 factions
- the order - sects secretly united under a ruler
- the omni - the unitarians
- the techies - mostly selfish or self absorbed -  neutral",,,,,"most symbols reflect something visual about their location or belief, 

some are east and west, a quarter, or a culture focused on the great one, the void or all things etc",
,,,,,,,,
,,,,,,,,
,,,,,,,,
The Undead Corruption,The Undead Corruption,The Undead Corruption is unleashed into the world which taints souls and turns them into hivemind zombies,To spread the corruption and create the abyssal horde and control all chaos in creation,order,abyssal,●,essentially demons,"presence through channelling or spread around the world, greater presence in corrupted sites"
The Dark Brotherhood,The Dark Brotherhood,The Dark Brotherhood is a group of assassins and thieves who seek to control the world from the shadows,To gain power and control over the world,order,Criminal Organization - order,☠,mafia like criminals,presence in every major city and scattered presence anywhere in the world
The Cult of the silent night,The Cult of the silent night,The Cult of the Undead is a group of fanatics who worship the Undead Corruption and seek to spread it throughout the world,To spread the Undead Corruption and gain power,order,Cult - order,◶⚈,⨁ ◶ ◍ ⚉,
the empire,the empire,an aging monarch desperate to maintain its hold on power,"to recover its lost lands and return to its former glory, to conquer the entire world",order,,🜃,dark monarch theme,controls smaller kingdoms and satellite states
,,,,,,,,
,,,,,,,,
The Technocrats,Kingdom of Azura,"technological scientific people pushing for superiority, creating conflict in ethics and fighting for resources to fuel their hungry tech","maintaining their prosperity and independence, bringing freedom to more people",techies,,✪,asia themed,"Star Co' the company secretly owned by the empire, deals in several major situations
- provides aid and sells medicine to water kingdom
- creates and sells weapons"
,,,,,,,,
togenkyo monastery village,togenkyo monastery village,minimalist fighter monks,,neutral - omni,,,✷,
political nomads,political nomads,"detached from the land they are convinced to destroy the lands they are in for wealth, they turn against the others to get their way","control of the region, wealth and power",techies,,,,
religious nomads,religious nomads,"traditional people living spiritual lives on the plains, they feel a responsibility to the ecosystem and try to avoid actions that can cause harm","maintaining their prosperity and independence, living harmoniously with the land",omni,,◍,"multicultural centre inspired by osmanli and silk roads, medieval istanbul style city surrounded by tribes and smaller colonies/kingdoms",
,,,,,,,,
,,,,,,,,
realm guard,realm guard,politically agnostic order of elite warriors from around the world sworn to the protection of the realm against major threats,"to maintain control and ensure there is no political threat while maintaining diplomacy to request resources, with at least an ambassador from representing each nation in the order",neutral,,☷,,
priest monks,priests,a religious group of priest monks who travel the world compiling knowledge and running various services,"some people have been hijacked in by the order, theyve added their own information to the main directives

theyve taken some of the directives and layered on extra commandments that are a bit more sectarian, being used to reinforce divisions ",neutral,,ϴ,,
luminous knights,The Order of the Light,The Order of the Light is a group of fanatical warrior knights who are sworn to protect the realm until the return of the prophet,To protect the world from darkness and chaos,omni,Religious/Military Order,♁,religious paladin - independent - good,"base in main city, scattered presence in many locations"
sisters of gaia,,,,neutral good,,🜨,,
,,,,,,,,
,,,,,,,,
hunters guild,hunters guild,,,,,,,
merchants guild,merchants guild,global trade management,try to maintain global trade management and funnels money to capital,neutral,,,,
thief guild,ahahin,"bit darker, usually involved in nefarious things, controlled by crime gang(dark brotherhood)",,,,,,
rogue guild ninjas,jinja,,,,,,,
