,Character Description,Subplot and Relationship to Main Plot,Nation/Group,Agendas and Motivations,Episodes,Political Tensions
the pantheon,,,,"when someone becomes a legend of the realm, theyre honored on the pantheon","the team visits the ruined pantheon

at the end, the pantheon is revived, the team is added to the pantheon",
,,this page is not started,,,,
,Jax,A hatchling with a rebellious streak who befriends Lulu and joins her quest,,"Jax becomes Lulu's closest ally and supporter, willing to help her achieve her goals at any cost","Jax wants to prove himself and make a name for himself, and he believes that helping Lulu is the best way to do that",
,General Torm,The leader of the Royal Hatchling Army who opposes Lulu and her friends,,Torm sees Lulu's group as a threat to the established order and is determined to stop them at all costs,"Torm wants to maintain his power and control over the hatchlings, and he sees Lulu's group as a challenge to his authority",
,Professor Wren,A wise and eccentric scientist who helps Lulu and her friends on their quest,,Wren sees the value in Lulu's mission and is determined to aid her in any way possible,Wren is motivated by a desire to uncover the mysteries of the hatchling world and to help those in need,
,The Enforcers,A group of powerful hatchlings tasked with maintaining order and enforcing the law,,"The Enforcers initially see Lulu's group as a threat, but they eventually come to realize the importance of their mission","The Enforcers are motivated by a desire to maintain law and order in the hatchling world, but they begin to question their methods and motives as they encounter Lulu and her friends",
,Queen Vespera,The powerful and mysterious queen of the hatchling world,,"Vespera is initially a looming presence in the background, but as the series progresses, her true motivations are revealed","Vespera is motivated by a desire to maintain her power and control over the hatchling world, but she may have a hidden agenda that could change everything",
,The Wise Mentor,Provides guidance and advice to the protagonist,N/A,To help the protagonist fulfill their destiny and become a hero,"Wisdom, Guidance, Light",N/A
,The Rival,Competes with the protagonist for a common goal,N/A,To prove themselves better than the protagonist,"Envy, Competition, Shadow",N/A
,The Traitor,Betrays the protagonist or their allies,N/A,To gain power or to further their own goals,"Betrayal, Deception, Darkness",N/A
,The Antihero,Resembles a hero but lacks traditional heroic qualities,N/A,"To achieve their own goals, which may conflict with the greater good","Morally ambiguous, Rebellion, Gray area",N/A
,The Love Interest,Provides a romantic subplot for the protagonist,N/A,To pursue or be pursued by the protagonist,"Love, Passion, Heart",N/A
,The Mad Scientist,Pursues scientific knowledge and advancement regardless of the consequences,Scientists Guild,"To unlock the secrets of the universe, often at the expense of others","Knowledge, Power, Technology",Conflict between scientific progress and ethics
,The Religious Fanatic,Devotes themselves completely to a religion or ideology,The Faith,To spread their beliefs and achieve salvation,"Faith, Devotion, Redemption",Conflict between religious zealotry and secularism
,The Corrupt Politician,Abuses their power for personal gain,The Government,To maintain their position and increase their wealth and influence,"Corruption, Power, Greed",Conflict between the interests of politicians and the people they govern
,The Vigilante,Takes justice into their own hands,N/A,To right wrongs and punish criminals,"Justice, Retribution, Shadow",Conflict between law enforcement and vigilantism
,The Rebel Leader,Fights against a tyrannical regime,The Rebellion,To overthrow the regime and establish a new order,"Revolution, Freedom, Unity",Conflict between oppressors and the oppressed
,The Immortal Being,Possesses eternal life and immense power,N/A,To maintain their existence and exert their will on the world,"Immortality, Power, Legacy",Conflict between mortality and immortality
,The Wise Old Mentor,A mentor figure who imparts important knowledge and guidance to the protagonist,N/A,,,Knowledge vs Ignorance
,The Trickster,A mischievous and unpredictable character who often acts as a foil to the protagonist,N/A,,,Chaos vs Order
,The Femme Fatale,A seductive and dangerous woman who uses her charms to manipulate others,N/A,,,Gender and Power
,The Beast,A powerful and dangerous creature that is often a symbol of primal nature,N/A,,,Nature vs Civilization
,The Prophet,A visionary or religious figure who provides insight into the future or spiritual realm,N/A,,,Religion vs Secularism
,The Outsider,"A character who is an outsider to the society they find themselves in, often bringing an outside perspective and disrupting the status quo",N/A,,,Us vs Them
,The Anti-Hero,A protagonist who lacks traditional heroic qualities and often engages in morally ambiguous behavior,N/A,,,Moral Ambiguity
,"Azura, Queen of the Sky","Ruler of the Sky Kingdom, ally to the Light",,Protect her people and maintain power,,Tension between Sky Kingdom and other nations due to technological superiority and perceived superiority
,"Thorne, Leader of the Rebellion",Leader of the Resistance against the Dark Empire,,Overthrow the Dark Empire and establish democracy,,"Tension between rebels and the Empire, ideological differences over freedom vs control and democracy vs dictatorship"
,"Xiulan, High Priestess of the Temple of Balance","Spiritual leader of the world, mediator between Light and Dark",,"Restore balance to the world, prevent the Chaos God from being unleashed",,"Tension between different religious and spiritual beliefs, the struggle to maintain balance between Light and Dark"
,"Maelstrom, Admiral of the Undead Fleet","Commander of the Undead Fleet, serves the Chaos God",,Unleash the Chaos God and spread undead corruption throughout the world,,"Tension between nations due to the threat of undead corruption, the struggle to maintain order and prevent chaos"
,Helena,"A high-ranking member of the Order, Helena is committed to the pursuit of order and control, even if it means sacrificing personal freedoms. She is a staunch advocate for the Order's methods, and is willing to go to great lengths to ensure their goals are met.",The Order of the Sun,,,
,Zephyr,"A skilled warrior and leader of the Wind Clan, Zephyr is fiercely independent and values personal freedom above all else. He is a thorn in the side of both the Order and the Dominion, and is often caught in the middle of their conflicts.",The Wind Clan,,,
,Aria,"A powerful healer and diplomat, Aria is dedicated to the pursuit of unity and cooperation between the different nations and factions. She is often called upon to mediate disputes and broker peace between warring parties.",The Water Tribe,,,
,Viktor,"A ruthless general in the Dominion's army, Viktor is driven by a desire for power and control. He sees democracy as a weakness, and views the Dominion's rule as the only way to maintain order and stability in the world.",The Dominion,,,
,Vesper,"A mysterious and enigmatic figure, Vesper is the leader of the Moon Clan and has a deep connection to the powers of darkness. Her motivations are often unclear, and she is a wildcard in the ongoing conflicts between the different factions.",The Moon Clan,,,
,Kalen,"A powerful and ambitious firebender, Kalen is determined to prove herself as a worthy successor to the throne. She is fiercely loyal to her nation, but also recognizes the need for cooperation and unity in the face of external threats.",The Fire Nation,,,
,Arin,"A skilled earthbender and member of the royal family, Arin is torn between her duty to her nation and her desire for personal freedom. She struggles to balance her responsibilities as a leader with her own ambitions and desires.",The Earth Kingdom,,,
,Thorne,"A master assassin and leader of the Shadow Guild, Thorne operates in the shadows and is feared by many. He has his own agenda and motivations, but is often willing to work with others if it serves his interests.",The Shadow Guild,,,
