Name,Element,Description,evolution level
Celestion,Void,"Celestions rarely appear from the void. Their wings emit a strange energy, which absorbs objects that get too close.",3
Solarion,Plant,"Self sufficient and able to produce their own light, Solarions often live in solidarity",3
Mangris,Plant,"A Mangris will confuse its prey with floral appendages. Once it is near, its saw-like front legs strike at the speed of sound.",3
Sporeleon,Plant,"Sporeleons are often found perched high in the forest canopy, waiting for an unsuspecting meal to pass underneath.",3
Bazub,Plant,Bazub swarms are both deadly and destructive and can destroy entire croplands in mere minutes,3
Bolbon,Plant,"A Bolbon can be inactive for so long that moss, shrubs, or even small trees grow on their backs and limbs.",3
Nocterra,Plant,Nocterra spread halucinogenic pollens which can severely disorient travellers and predators.,3
Lycospore,Plant,Lycospores release clouds of fine particles that shut down the immune systems of other living things.,3
Florean,Plant,"Floreans root themselves to the ground and become immovable objects. Their vines are stronger than threaded steel, and often it is easier to move the earth itself.",3
Koranok,Plant,"Koranok claws are powerful enough to burrow through permafrost and bedrock, where they build their nests in warm safety.",3
Sharakus,Water,"While swimming at full speed, a Sharakus generates enough energy to cause fifty-meter swells.",3
Sujin,Water,Sujin are mischevious tricksters that are able to shape their watery bodies at will to mimic anything they have already seen,3
Leviathan,Water,"Leviathans usually drift throughout the dark abyss, their maws held open like black holes in the sea.",3
Seaqueen,Water,The horns of Seaqueens are coated with a powerful toxin that can potentially paralyze a target or attacker for several days--if they survive the blow.,3
Naga,Water,"The Nagae have powerful, muscular bodies that enable them to manoeuvre swiftly and easily through water.",3
Mermos,Water,"Despite not having bones, each tentacle on a Mermos is capable of crushing a rock to beach sand.",3
Glacioise,Water,Glacioises move so slowly that they are often mistaken for part of the glaciar.,3
Antarcticus,Water,The wings of an Antarcticus emit a cold wind that cause dense clouds to erupt in snow.,3
Woover,Water,"Woovers travel in packs and chase down their prey over extremely long distances, or work together to set ambushes and traps.",3
Lavekans,Fire,"Lavekans increase their elemental power when they are on firey ground, and often coil themselves up during combat to amplify that effect",3
Calidus,Fire,"When a Calidus senses a threat, it begins to burn white hot and emits heatwaves that melt swords and char spears to black.",3
Magmus,Fire,"Magmusii ooze a trail of lava wherever they go, which remains hot for many hours before cooling. This makes them easy to track in the wild--and even easier in cities.",3
Chargoyle,Fire,"Chargoyles usually nest in groups on the sides of volcanoes. Easily startled, their manes erupt with flames in sychronicity as they take wing.",3
Firadactus,Fire,"A Firadactus heats the air under its wings to aid its flight, allowing it to soar for many days without rest.",3
Ignis,Fire,"When harmed or threatened, a Ignis emits a strong odor that alerts its hive to the presence of invaders. Soon, there are many buzzing flames and red hot stingers.",3
Blazeo,Fire,"If threatened, Blazeos fan out their burning tails to shield themselves from attacks and obscure their image.",3
Phoenix,Fire,"When a Phoenix sheds its feathers, the discarded plumage continues to burn until the end of its cycle, even if placed underwater.",3
Flamus,Fire,"A Flamus must always be on the move, lest it melts the ground it stands upon.",3
Goblen,Dark,"Goblens are social creatures that work in large groups. Although small, their voices carry over heat and can extend many miles in the right conditions.",3
Depedus,Dark,"Depedusae cause small earthquakes as they build their complex tunnel networks. They are believed to live at the bottom of the world's crust in perpetual heat, pressure, and darkness.",3
Darthys,Dark,"Whenever something dies near a Darthys, its soul risks being trapped in the crystal on the Darthys' back forever.",3
Wraith,Dark,"The claws of Wraiths are massive and terrifying, but their slash is the legend of stories, which put kids to bed in fear.",3
Wanderer,Dark,Wanderers are said to be powerful warrior spirits that travel the world in desperate search for a worthy opponent.,3
Baphomet,Dark,"Baphomets are highly deceptive shapeshifters that commit to their disguises at great lengths, sometimes posing as another being for a full lifetime.",3
Sentinel,Light,"Because they have no desires of their own, Sentinels stand guard at attention indefinitely. They are the perfect soldiers.",3
Elkar,Light,The glowing gold antlers of Elkari are used for mating rituals and courtship combat. Elkari are sometimes found to be training against large boulders and can turn a mountainside to rubble.,3
Lumenicia,Light,"Highly sensitive to the world and its vibrations, Lumeniciae communicate through photons of light.",3
Gryphon,Light,Gryphons whip their tails to send shockwaves of air that stun and shatter with sound on impact.,3
Pegasus,Light,"Pegasusies gallop through the night sky, wherefore they are commonly mistaken for falling stars.",3
Templar,Light,Templars have powerful wings that allow for sudden take-off and blurring flight. They cannot be caught--only trapped and befriended.,3
Almega,Void,Almega can see into the near future and predict upcoming attacks. They seem to ignore the laws of space-time.,3
Kaiborg,Void,"The Kaiborgs promised never to return to dust, so they created new selves of metal.",3
Badara,Void,"Its speed and strength are amplified in the moonlight. After sunset, there is little to nothing that can stop a Badara.",3
Omnipotens,Void,"In times of peace, they sleep in the shadows and wait. In the end of times, they shake the heavens with pillars of white light.",3
Bamboozler,Plant,"Although they might appear slow and simple, Bamboozlers are known to attack aggressively with quick combos of punches and kicks.",3
Slobloom,Plant,Sloblooms are notorious for picking fights with those who deny their beauty.,3
Lunashroom,Plant,A Lunashroom is a solitary monster with toxic fungi on its head and back for defense. They can emit fatal nitrogenous clouds from their breath.,3
Florean,Plant,Floreans move quickly through the air and disorient attackers with their stunning beauty and pollenated displays.,3
Absolopede,Plant,"In spite of its intimidating size, Absaloms are unusually friendly even in the wild. They are prone to hugging and often refuse to let go, which can be unintentionally fatal. ",3
Carathorn,Plant,"These strange monsters pretend to be part of the forest. The Carathorn hunts via movement, so remaining calm is the best defense against its long, spiked horn and venomous gaze.",3
Terassus,Plant,"This prehistoric monster survives through the vitality of the forest and the beauty of its flowers. It tramples anyone or anything that threatens its trees and meadows, for the Terassus bears the weight of life.",3
Turtapollen,Plant,"The Turtapollen is a prehistoric monster that erupts with blinding and choking pollen. Its shell is harder than diamond, and it sparkles with the ancient power of the forest.",3
Vindroll,Plant,"A stealthy, carnivorous plant that appears as a beautiful shrub. It ambushes its prey by unleashing sharp blades of grass in fierce and quick attacks.",3
Pongo,Plant,"These powerful cyclopic monsters are able to move through the forest unnoticed. They are highly sentient and make tools and weapons with large branches.
",3
Mancia,Plant,Mancia are usually found hanging down on jungle branches waiting to catch unsuspecting prey with their tentacle like petals,3
Buzzkill,Plant,"The herculean Buzzkill is a knightly force unto itself, capable of rapid flight, opponents who are shown mercy often only remember a loud buzzing blur before darkness.",3
Lignicia,Plant,"Lignicia are usually deep in the forests and camouflage so well, they are often not seen or heard, many wonder if they exist at all",3
Growilla,Plant,"Growillas are territorial like many other primates. Despite their size, they are very agile and will display tremendous speed and strength when threatened. ",3
Tronk,Plant,"Tronks are feral forest monsters who spend their youths in search of the perfect fighting log. Although not especially blood-thirsty, their competitiveness and athletic vigor often leads to rough housing.",3
Pumelkin,Plant,Pumelkins are aggressive monsters who aspire to compete in hatchy tournaments. They are easily pocketed by worthy Summoners but will fight ferociously against those it deems unworthy.  ,3
Shrubasaur,Plant,"Shrubasaurs live in underground burrows and are often found in tall grass. These herbivores can change their skin color and texture to match the environment, even appearing as a leafless tree.",3
Rhynocker,Plant,Rhynockers dwell on the edges of forests and defend their territories with devastating charges. These large monsters will roll and lift boulders with their horns to form small caves for their young.,3
Behemoth,Plant,"Fast, ferocious, and voracious, a Behemoth is most dangerous when pushed against the ropes. As a last resort, these monsters deploy their powerful stingers and weaken themselves to paralyze their opponents. 
 paralyze his opponent, although this attack will leave him very weak.",3
Leaffur,Plant,Leaffurs travel as large families throughout the forest and defend themselves with surprising strength and courage. They are very protective of their Summoners and will often pre-emptively attack a perceived opponent.,3
Boppelsmash,Plant,The Boppelsmash is an extremely athletic monster that jumps high in the air before crashing downward. Its impact creates small-scale tremors that can disorient its opponents.,3
Biguana,Plant,"Biguana are agile fighters with powerful tails and fast kicks. Each Biguana develops its own fighting style, making them tough to predict. ",3
Kalobber,Plant,"Although it may appear lumbering and soft, a Kalobber eats leaves high up in trees, ready to drop down on unwary intruders.",3
Hadrowhip,Water,Hadrowhips shoot high-pressure water beams that whip across the waves and pierce through sheets of metal.,3
