I ,Image,image,Name,Element,Monster ID,sound,Description,Height,Weight,common,shiny,egg,107/0
TRUE,10011001,,Almega,Void,10011001,,Almega can see into the near future and predict upcoming attacks. They seem to ignore the laws of space-time.,9999,9999,0,140,Both,
TRUE,10100101,,Kaiborg,Void,10101001,,"The Kaiborgs promised never to return to dust, so they created new selves of metal.",200,140,0,140,Both,
TRUE,10101001,,Badara,Void,10100101,,"Its speed and strength are amplified in the moonlight. After sunset, there is little to nothing that can stop a Badara.",220,180,0,140,Lunar,
TRUE,11111111,,Omnipotens,Void,11111111,,"In times of peace, they sleep in the shadows and wait. In the end of times, they shake the heavens with pillars of white light.",220,240,0,140,Solar,
TRUE,,,Bamboozler,Plant,40,,"Although they might appear slow and simple, Bamboozlers are known to attack aggressively with quick combos of punches and kicks.",180,140,5000,140,Lunar,lunar
TRUE,,,Slobloom,Plant,41,,Sloblooms are notorious for picking fights with those who deny their beauty.,140,50,5000,140,Lunar,6
TRUE,,,Lunashroom,Plant,42,,A Lunashroom is a solitary monster with toxic fungi on its head and back for defense. They can emit fatal nitrogenous clouds from their breath.,90,40,5000,140,Lunar,solar
TRUE,,,Florean,Plant,43,,Floreans move quickly through the air and disorient attackers with their stunning beauty and pollenated displays.,175,55,5000,140,Both,5
TRUE,,,Absolopede,Plant,44,,"In spite of its intimidating size, Absaloms are unusually friendly even in the wild. They are prone to hugging and often refuse to let go, which can be unintentionally fatal. ",220,200,5000,140,Both,shared
TRUE,,,Carathorn,Plant,45,,"These strange monsters pretend to be part of the forest. The Carathorn hunts via movement, so remaining calm is the best defense against its long, spiked horn and venomous gaze.",160,60,5000,140,Solar,12
TRUE,,,Terassus,Plant,46,,"This prehistoric monster survives through the vitality of the forest and the beauty of its flowers. It tramples anyone or anything that threatens its trees and meadows, for the Terassus bears the weight of life.",320,2000,5000,140,Solar,
TRUE,,,Turtapollen,Plant,47,,"The Turtapollen is a prehistoric monster that erupts with blinding and choking pollen. Its shell is harder than diamond, and it sparkles with the ancient power of the forest.",160,150,5000,140,Both,
TRUE,,,Vindroll,Plant,48,,"A stealthy, carnivorous plant that appears as a beautiful shrub. It ambushes its prey by unleashing sharp blades of grass in fierce and quick attacks.",140,30,5000,140,Both,
TRUE,,,Pongo,Plant,49,,"These powerful cyclopic monsters are able to move through the forest unnoticed. They are highly sentient and make tools and weapons with large branches.
",210,800,5000,140,Lunar,
TRUE,,,Mancia,Plant,50,,Mancia are usually found hanging down on jungle branches waiting to catch unsuspecting prey with their tentacle like petals,110,100,5000,140,Both,
TRUE,,,Buzzkill,Plant,51,,"The herculean Buzzkill is a knightly force unto itself, capable of rapid flight, opponents who are shown mercy often only remember a loud buzzing blur before darkness.",180,150,5000,140,Both,
TRUE,,,Lignicia,Plant,52,,"Lignicia are usually deep in the forests and camouflage so well, they are often not seen or heard, many wonder if they exist at all",175,75,5000,140,Both,
TRUE,,,Growilla,Plant,53,,"Growillas are territorial like many other primates. Despite their size, they are very agile and will display tremendous speed and strength when threatened. ",185,450,5000,140,Both,
TRUE,,,Tronk,Plant,54,,"Tronks are feral forest monsters who spend their youths in search of the perfect fighting log. Although not especially blood-thirsty, their competitiveness and athletic vigor often leads to rough housing.",195,120,5000,140,Lunar,
TRUE,,,Pumelkin,Plant,55,,Pumelkins are aggressive monsters who aspire to compete in hatchy tournaments. They are easily pocketed by worthy Summoners but will fight ferociously against those it deems unworthy.  ,140,90,5000,140,Solar,
TRUE,,,Shrubasaur,Plant,56,,"Shrubasaurs live in underground burrows and are often found in tall grass. These herbivores can change their skin color and texture to match the environment, even appearing as a leafless tree.",170,150,5000,140,Solar,
TRUE,,,Rhynocker,Plant,57,,Rhynockers dwell on the edges of forests and defend their territories with devastating charges. These large monsters will roll and lift boulders with their horns to form small caves for their young.,250,3300,5000,140,Both,
TRUE,,,Behemoth,Plant,58,,"Fast, ferocious, and voracious, a Behemoth is most dangerous when pushed against the ropes. As a last resort, these monsters deploy their powerful stingers and weaken themselves to paralyze their opponents. 
 paralyze his opponent, although this attack will leave him very weak.",180,80,5000,140,Both,
TRUE,,,Leaffur,Plant,59,,Leaffurs travel as large families throughout the forest and defend themselves with surprising strength and courage. They are very protective of their Summoners and will often pre-emptively attack a perceived opponent.,150,30,5000,140,Both,
TRUE,,,Boppelsmash,Plant,60,,The Boppelsmash is an extremely athletic monster that jumps high in the air before crashing downward. Its impact creates small-scale tremors that can disorient its opponents.,165,40,5000,140,Both,
TRUE,,,Biguana,Plant,61,,"Biguana are agile fighters with powerful tails and fast kicks. Each Biguana develops its own fighting style, making them tough to predict. ",170,90,5000,140,Solar,
TRUE,,,Kalobber,Plant,62,,"Although it may appear lumbering and soft, a Kalobber eats leaves high up in trees, ready to drop down on unwary intruders.",160,50,5000,140,Lunar,
TRUE,,,Hadrowhip,Water,63,,Hadrowhips shoot high-pressure water beams that whip across the waves and pierce through sheets of metal.,188,100,5000,140,Both,lunar
TRUE,,,Psyren,Water,64,,"Psyrens are shy hatchies that usually avoid humans. They are found in small groups on exposed sea rocks, where their singing ironically attracts others to their beautiful sounds. ",176,60,5000,140,Both,5
TRUE,,,Tentakill,Water,65,,"Usually solitary in nature, a Tentakill has eight venemous tentacles and two strong arms that paralyze and immobilize their prey.",168,43,5000,140,Both,solar
TRUE,,,Clashsicle,Water,66,,"Able to move quickly through ice sheets and snow drifts, Clashicles channel water energy into sharp spears and projectiles.",175,45,5000,140,Both,6
TRUE,,,Platasaur,Water,67,,Platasaurs blast powerful streams of bubbles with their mouth that can knock down or incapacitate their opponents.,160,70,5000,140,Both,shared
TRUE,,,Swordsnout,Water,68,,Swordsnouts pierce through the ocean with their sharp beak-like noses and can swim great distances at top speed without relenting. They are fierce rivals against Sharakusii.,190,95,5000,140,Solar,12
TRUE,,,Ramsplash,Water,69,,Ramsplashies gather enough speed and power to launch their target high enough into the air that the surface tension feels like concrete.,175,74,5000,140,Both,
TRUE,,,Jabberwelt,Water,70,,"Jabberwelts are strange Hatchies, known to perform dance-like rituals, punching exhibitions, and rap battles to impress trainers they admire and mates they desire.",188,88,5000,140,Both,
TRUE,,,Crocodiver,Water,71,,"Silent stalkers of rivers and shores, a Crocodiver will sometimes wait patiently among the green shallows for many days before striking.",182,105,5000,140,Lunar,
TRUE,,,Hydroslam,Water,72,,"Sometimes called ""River Horses Plus,"" Hydroslams are not as cute and cuddly as they may appear. In fact, they are powerful waterwalkers, whose body slams splash even large ships from the water.",190,2500,5000,140,Lunar,
TRUE,,,Tidalhorse,Water,73,,"Although shy and aloof, a loyal Tidalhorse serves as a tremendous water steed and life-long friend. Many Tidalhorses outlive their trainers and become part of the family.",270,3100,5000,140,Lunar,
TRUE,,,Magentic,Water,74,,"Fiercely loyal and regal to the core, Magentics display both chivalry and style when they fight. Honor, Courage, Might. These are their oaths.",195,110,5000,140,Solar,
TRUE,,,Malclam,Water,75,,Malclams shoot powerful beams of light that penetrate the dark and heavy deeps. They emerge from the deeps only to recharge in the sunlight of the Sky Egg.,185,220,5000,140,Solar,
TRUE,,,Frosloth,Water,76,,Frosloths are powerful creatures that burrow deep into the permafrost to hibernate. It is never recommended to interrupt their slumber.,202,240,5000,140,Both,
TRUE,,,Arcticlaw,Water,77,,The howling of Arcticlaws can be heard in the evening and ealy morning hours. They move and hunt in large and highly-organized packs.,210,140,5000,140,Lunar,
TRUE,,,Painguin,Water,78,,"The sharp head-feathers of a Painguin can slice through any surface. Although voracious in the water, it is rather awkward and clumsy on dry land. With the right amount of fresh fish, they are easy to tame and train.",160,90,5000,140,Solar,
TRUE,,,Krabsmack,Water,79,,"A Krabsmack can exert enough pressure with its powerful claws to snap even the toughest prey in half. What is more, it uses sensitive antennae to predict incoming attacks.",195,80,5000,140,Both,
TRUE,,,Snowsquatch,Water,80,,Snowsquatches are known for wielding snowballs with incredible force. They are believed to cause avalanches.,230,450,5000,140,Both,
TRUE,,,Riptyde,Water,81,,"Once drawn into combat, there is no escape from a Riptyde. Their massive arms and powerful forms crush and drown all those who swim in their way.",205,250,5000,140,Both,
TRUE,,,Eelectra,Water,82,,"Eelectras are shockingly potent and surprisingly slippery in combat. When in water, their bolts of electricity are magnified and projected for a great distance.",160,40,5000,140,Solar,
TRUE,,,Anchorvie,Water,83,,"Though seldom seen above the surface, Anchorvies inspired humans to craft shipweights called anchors.",190,94,5000,140,Both,
TRUE,,,Speartle,Water,84,,"Speartles live in large, war-like communities that migrate throughout the seasons via underwater rivers. When a Spurtle evolves into a Speartle, it uses its indestructible shell as a round shield.",203,105,5000,140,Solar,
TRUE,,,Coreeko,Water,85,,"Coreekos may appear like colorful plants in shallows and reefs, but they become fierce fighters when nibbled on by larger fish and water Hatchies.",155,88,5000,140,Lunar,
TRUE,,,Lunamander,Fire,86,,"A distant cousin of the Solamander, the Lunamander is a nocturnal hunter of large insects. It is highly resistant to venoms and poisons of both plants and creatures.",180,220,5000,140,Lunar,lunar
TRUE,,,Minotorch,Fire,87,,Large herds of Minotorches can be found on the lava fields and magmatic plains near firebergs. Their blazing stampedes can be felt for miles all around.,185,95,5000,140,Both,5
TRUE,,,Scythepaw,Fire,88,,"Fast, agile, and ferocious, Scythepaws strike and slash from every direction and angle in combat. When they are not sleeping, they are reaping.",178,78,5000,140,Solar,solar
