ID(deprecated),Gender,Armor Image,File Name,link,Name,Rarity,Description,effects,Story Notes,Type,Class,main slot,Job,II,Slot 1,Slot 2
-,M,,Arcanium Rune,https://drive.google.com/uc?export=view&id=1sxAcA6i2LHIwIF-wiTEIgRSDUPWkPZGQ,Arcanium Rune,epic,Clothing worn by nobility when attending events. it uses runes to store artifacts or magic cards secretly,,nobility,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,Arcane Raiment,https://drive.google.com/uc?export=view&id=1vX-pyORLyKdGeWlj8h3m9LpuP4OTZ6my,Arcane Raiment,epic,"Arcane Raiment is often used by wizard who want greater access to magic energy. Using this outfit, a wizard will gain greater power than usual. However, it should be noted, that without his Arcane necklace, his powers would not have appeared.",,,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,Aegis Exosuit,https://drive.google.com/uc?export=view&id=1RhM_iBvP6_O1qmmJmVtbqClkcJ4dn00M,Aegis Exosuit,rare,A Robe made of special silk that can store light energy. provides resistance to dark element,provides resistance to dark element,Light silk robe,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,Venomous Alchemist,https://drive.google.com/uc?export=view&id=18VmsXvMGGvgnfZsBSMFoMyxhZZq4DAw3,Venomous Alchemist,common,"A garment donned by alchemists specializing in poisons, this armor can be infused with resistance potions, rendering the wearer immune to venom.",,"poison, dark",BODY ARMOR,EQUIPS,Torso,,,,-
,M,,Sterling Omnibus,https://drive.google.com/uc?export=view&id=1yLkih6SBgXVHzZTo8KvQPY9-x5IlSv-S,Sterling Omnibus,epic,The attire worn in the central bank of Ixor. it has many hidden pockets,,Ixor bank,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,Warden Valkryie,https://drive.google.com/uc?export=view&id=1B53tTn_rayVgUwh5gbM5Hfvd_Y8htj0t,Warden Valkryie,legendary,"Although in ancient tales, Valkyries were a race consisting only of females, this concept has changed with the embodiment of Valkyrie spirit in the Warden Valkyrie attire. Only males are allowed to wear this garment, and they are the ones responsible for guarding the prison.",,,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,The Pillar Of Domari,https://drive.google.com/uc?export=view&id=1CWbitrk5NlYw2FAIghBn43z-x3uD8f5P,The Pillar Of Domari,epic,Specialized armor of the Domari Ice Guard. Imbued with special runes that increase Ice Magic,particularly effective when combined with ice-type magic cards,"The guards of the Primary Temple in the city of Domari believe that dragons are not extinct. That's why they wear clothing with dragon symbols on the front, hoping that the dragons will rise again.",BODY ARMOR,EQUIPS,Torso,,,,-
,M,,Protection of the Vulture,https://drive.google.com/uc?export=view&id=1oenB_x8kJ3TZP18RmrBlkKaOEr_Cn8Oq,Swiftwing Protector,epic,"The ""Swiftwing"" is worn by warriors who prioritize speed and mobility for aggressive fighting styles. It is often worn by fearless heroes who are unafraid to confront death.",increased speed,,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,Gevax Lodestone,https://drive.google.com/uc?export=view&id=1SawAlPhl9Fnjuh86SM07b4nOwEbw5nNw,Gevax Lodestone,epic,"Unique armor made primarily from magnets, but its main ability is to repel all attacks made of iron. Ordinary swords will be unable to harm the wearer of this armor, as if there is a powerful energy field that cannot be touched.",resistance against basic element,,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,Vanqhuiser Guardian,https://drive.google.com/uc?export=view&id=1p0ENIoOsaCNcXsnlnA7z9Jd_bH_Loa2P,Vanquisher Guardian,legendary,The armor worn by the leader of the Hydar Kingdom's army.,,leader of Hydar kingdom Army - General,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,Vovelgoth,https://drive.google.com/uc?export=view&id=1vlunN0Jz8qJpKDCOQPNrwOMCF8YGs3yN,Vovelgoth,rare,The armor worn by the warriors in the country of Akwar.,,Warriors of Akwar,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,Flutterflight Skin Exosuit,https://drive.google.com/uc?export=view&id=1PbhW3D9GrPY6diEy7KoD7-I1ijOZcbDv,Flutterflight Skin Exosuit,epic,"Clothing inspired by Hatchy Flutterflight, as it provides warmth around the neck area. Despite being named Flutterflight, none of the materials are sourced from there. It is a garment reserved exclusively for individuals of high social status.",,flutterflight skin,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,Glacier Platemail,https://drive.google.com/uc?export=view&id=1NcpvjhWMGzrbq2rQYk3MjrwW3d_nIQAs,Nebula Plate,legendary,"Unbelievably light yet durable, its made from an unknown material, not from this world",,,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,Ashen Oak Vestments,https://drive.google.com/uc?export=view&id=17CD33jVRfL8vCzbdZ0z87Gnb2SS4E9f9,Ashen Oak Vestments,epic,The armor worn by the lower-ranking members of The Order. ,,"The Order
-This armor is not very visible because members of The Order typically cover their bodies with long hooded cloaks.",BODY ARMOR,EQUIPS,Torso,,,,-
,M,,Azure Battlegear,https://drive.google.com/uc?export=view&id=1jhDX6eUxsk1DHd6CVWi5zh7ikAkHS-vt,Azure Battlegear,epic,"Armor that can be infused with Water-Elemental Crystals, making it a special ""weapon"" during battles. Often worn by Elite Water Knights.",Increased water elemental,,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,Akki Armor,https://drive.google.com/uc?export=view&id=179UjppzUU3itl6hrZx8aKA-33k0ozyyV,Akki Armor,epic,An armor capable of minimizing damage inflicted by the Void element.,Minimizes damage inflicted by Void-element attacks.,,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,Merimora Plate,https://drive.google.com/uc?export=view&id=13J818iW9QNXJvjjvkJM2zbc0T3u-5-T1,Trainee's Plate,common,common training garment imbued with its own sensing crystal on the chest that flickers when the wearer runs out of Mana.,,Often used by archers who heavily rely on enchanted arrows rather than using regular arrows.,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,Arunthundra,https://drive.google.com/uc?export=view&id=11kzP-FBGWCp5f0HLz4kEIbshaYIw_ROb,Nimbus Nighthawk Armor,epic,A stylish armor made from the claws of Hatchies of all elements. It pairs perfectly with weapons capable of harnessing the power of wind. It doubles the damage for any weapon with wind magic.,,,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,Emberstorm Armor,https://drive.google.com/uc?export=view&id=1cRJS7CAjJVcF4KDXyd6KnlO5f6F11miS,Emberstorm Armor,rare,Neutral armor designed to diminish the impact of attacks from all elemental types. Perfect for hunting Hatchies of any element.,,,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,Gazutral Cuirass,https://drive.google.com/uc?export=view&id=1h9IhghEG6Im3aV1jk8KgoZpCYjU9El1U,Britium Cuirass,epic,"Armor crafted from Britium for its lightness and durability, the wearer's body feels as if they're not wearing heavy armor and can move gracefully as if unburdened",,,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,Iron Legion Armor,https://drive.google.com/uc?export=view&id=1vkr129eFm2GZ9353dZ_4bJT2mQdltj7M,Iron Legion Guard,common,Basic starter armor commonly used by novice warriors. Also worn by warriors on a tight budget,,,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,Lepirox Valor,https://drive.google.com/uc?export=view&id=1vDamKW-3NpFc5fcJdRRRoMp7pjAqopQ8,Lepirox Valor,rare,"Crafted not for battle, but for healing, this armor is worn by dedicated medical personnel to fend off ailments spread by the ailing Hatchies. Enchanted with protective wards, it creates a barrier against diseases that seek to leap from the sickly Hatchies to their human caretakers.",,,BODY ARMOR,EQUIPS,Torso,,,,-
,F,,Radiance Astral,https://drive.google.com/uc?export=view&id=1zBi-ZqHCnkHYDfPKANKnIJN3bg3nwmrZ,Radiance Astral,epic,The armor worn by female witch employees at the Union of Wizard Associations office. It is capable of enhancing all magical attacks with all elements.,,,BODY ARMOR,EQUIPS,Torso,,,,-
,F,,Seraphic Valor,https://drive.google.com/uc?export=view&id=1KLkMLY80fhEX1ypjxHzJlwLZ8Vxj0ehV,Seraphic Valor,epic,The armor worn by female knight employees at the Union of Knight Associations office. It has the ability to enhance all physical attacks and minimize the impact of attacks from magic of all elements.,,,BODY ARMOR,EQUIPS,Torso,,,,-
,F,,Wyrmfire Battlegear,https://drive.google.com/uc?export=view&id=1pBBIvhSlide1q3qNCdFxJ8vgbQQfWS6D,Wyrmfire Battlegear,epic,Fire-elemental armor crafted through an extreme process. It is made by being placed in a special container and immersed in volcanic lava for several days. Only artisans with special certification are capable of creating it.,,,BODY ARMOR,EQUIPS,Torso,,,,-
,F,,Trinket Swagger,https://drive.google.com/uc?export=view&id=1NxJf9dM6dy_CqNRuZido1m4HmD3aMS8T,Trinket Swagger,legendary,"Trinket Swagger is an armor whose name is the result of a nickname given by the inhabitants of Artaria. There is only one in the world, and it can only be owned and used by the Queen of the Kingdom of Artaria. It has three slots to store magic cards.",,Queen of the Kingdom of Artaria,BODY ARMOR,EQUIPS,Torso,,,,-
,F,,Heart of the Volcano,https://drive.google.com/uc?export=view&id=1iVlbt_7t-vcpN96zBQGaHXFHRmgZ92G9,Heart of the Volcano,legendary,"""Heart of the Volcano"" is an extremely rare armor that, in legend, is said to only appear if someone manages to conquer the guardian of the Fire Temple. In the records of the modern era, no one is said to possess it. However, in the historical records of the ancient era, this armor was owned by someone.",,,BODY ARMOR,EQUIPS,Torso,,,,-
,F,,Talily,https://drive.google.com/uc?export=view&id=1dKD3F1tHyncrM3aBW55O_1vDnFHLBf2-,Talily,common,The armor worn by female priest employees at the Union of Priest Associations office. It has the ability to regenerate its wearer and can minimize the effects of dark magic.,,,BODY ARMOR,EQUIPS,Torso,,,,-
,F,,Red Draconic Armor,https://drive.google.com/uc?export=view&id=1g9MB3fu70WZ1sORtKmdcdMvBAhGoO5fW,Red Draconic Armor,legendary,"Specialized armor designed for the members of the Chambra Temple. This armor assists in activating the seven dormant chakras within the human body, allowing the wearer to unleash a hidden power known as Tongenkyo.",,Chambra Temple,BODY ARMOR,EQUIPS,Torso,,,,-
,F,,Molten Haqoro,https://drive.google.com/uc?export=view&id=1nkLGVIaIfRDwIqpOOIbMt5Ha4mWwGF_c,Molten Haqoro,epic,"Armor made from ""molten rock."" Its creation can only be performed by stone-melting magic. The name Haqoro itself was chosen because before it was known as ""Ixor, City of Chants,"" the place was called the Village of Haqoro.",,,BODY ARMOR,EQUIPS,Torso,,,,-
,F,,Auxilus Stormwing,https://drive.google.com/uc?export=view&id=1Oxog8I3sxieyx3rqpEHgqGDTca8PyElc,Auxilus Stormwing,epic,"Armor that can make its wearer lighten their body to the point of temporary levitation. To extend the duration of levitation, assistance is required, such as magic cards or artifacts with elements of wind.",,,BODY ARMOR,EQUIPS,Torso,,,,-
,F,,Phrilea,https://drive.google.com/uc?export=view&id=19Qft3lxGyP07w1SIia_TW9_XqRLHnJYn,Phrilea,rare,"Phrilea is a gown bestowed upon someone who has successfully graduated and been officially registered in the Union of Priest Associations. The primary raw material of Phrilea is the hair of Pegasus Hatchies, carefully and lovingly trimmed.",,,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,Barbaric Arrigun,https://drive.google.com/uc?export=view&id=1g03EcZEbLxI3iFTwS8dreerxlzfQsxM3,Barbaric Arrigun,rare,The ability to automatically multiply one's proficiency with all types of weapons is a feature of this armor. Many ordinary people also wear Barbaric Arrigun to be able to use weapons without the hassle of learning them from scratch.,,,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,Spring of Sol Assault,https://drive.google.com/uc?export=view&id=1XcaZ1fmY9Y_uECTotq2HhI8waZfe3yP-,Spring of Sol Assault,common,"An armor that is highly renowned due to its role in a significant historical war event in modern history. If a Hatchy Master and their Hatchy simultaneously attack the wearer of this armor, the weakest attack will have an impact on the wearer. Stronger attacks will mysteriously rebound.",,,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,Seraphic Eclipse,https://drive.google.com/uc?export=view&id=1Omt22fkYCLnytl7enD53vpRy2Z-DOegY,Seraphic Eclipse,rare,The armor worn by male knight employees at the Union of Knight Associations office. It has the ability to enhance all physical attacks and minimize the impact of attacks from magic of all elements.,,,BODY ARMOR,EQUIPS,Torso,,,,-
,F,,Luminous Sea Armor,https://drive.google.com/uc?export=view&id=1vLHnrkpyOudDycLFSc8bLh4uvVexSfr-,Luminous Sea Armor,rare,"The armor commonly worn by warriors when navigating the seas. This armor allows its user to breathe underwater, although not for extended periods. Another advantage is that it does not make the wearer sink due to its weight but instead makes them agile in the water.",,,BODY ARMOR,EQUIPS,Torso,,,,-
,F,,Crimson Spellbreaker,https://drive.google.com/uc?export=view&id=1sjbqmw4fyVwr-cjcho_g1gfQSR5RW3ua,Crimson Spellbreaker,epic,"Despite its name ""Crimson,"" there is actually very little red color on this armor. The uniqueness of this armor lies in being the only one capable of preventing opponents from completing their incantations. It's as if there is a mysterious force that hinders opponents when they try to finish their incantations to attack the wearer of this armor.",,,BODY ARMOR,EQUIPS,Torso,,,,-
,F,,Vasukani Pride,https://drive.google.com/uc?export=view&id=10hvza9JXkNaIw8zNE5jtiJHSoCcd7aTo,Vasukani Pride,epic,An armor that has emerged only in recent years and was created by a sword expert who is also a Grandknight named Isilron.,,,BODY ARMOR,EQUIPS,Torso,,,,-
,F,,War of Iph,https://drive.google.com/uc?export=view&id=1SF2JJhjkJsjpzYVi3XS2voUyHfbO6toW,War of Iph,epic,"Originally just regular clothing with a few ornaments added to make it a simple armor. The War of Iph itself was a conflict that took place in the Doppelganger Forest, which was an unusual war as the forces that arrived there were fighting against creatures resembling themselves. The war abruptly ended due to an untimely tsunami that immediately destroyed the two warring factions.",,,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,Stormcaller Enigma (Male),https://drive.google.com/uc?export=view&id=1EBFWt1vj3cTeB2W1hS4ETwQHqjlhjSF6,Stormcaller Enigma (Male),legendary,The armor renowned for its ability to manipulate storms. One of the nine legendary armors.,,,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,Bukomon (Male),https://drive.google.com/uc?export=view&id=1c5J_WnpDUdy2v063q-6eurbbqzggaZzZ,Bukomon (Male),common,"The traditional attire commonly worn by the people of Achopior includes a variety of distinctive garments. One of the most frequently donned items by its citizens is a unique, culturally significant piece of clothing.",,,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,Dragoneers Blood Moon(Male),https://drive.google.com/uc?export=view&id=1VmXkeJiYF8H8tr9JNtN1UU5-5hVdeR_M,Dragoneers Blood Moon(Male),legendary,"One of the nine legendary armors. A fire-elemental armor reportedly used by dragon riders in the past. What makes this armor special is that some of its materials are taken from the ""secret"" parts of the Taurrid Hatchy's body.",,,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,Aura Predator (Male),https://drive.google.com/uc?export=view&id=1tF_Au2vYWEk9m2mqcQKBkp7rB-Hf4_mv,Aura Predator (Male),epic,The attire worn by merchants at the Hatchy Market. Nearly all the materials for this robe are sourced from Hatchy bodies. It has the ability to tame and make even the most ferocious Hatchies obedient.,,,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,Lunar Demonplate (Male),https://drive.google.com/uc?export=view&id=1yQ6GRate-VsJjiHBHB7rl-ZI3dAmrnV0,Lunar Demonplate (Male),rare,"An armor so terrifying it can only be donned by those with profound knowledge, be it advanced magic or high-level Tongenkyo. It possesses the power to subdue even the dark elements of Hatchy.",,,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,Persanare (Male),https://drive.google.com/uc?export=view&id=1WXOxeQXRd5xl9kzs8HohC1eaRFpZ2tzG,Persanare (Male),rare,The attire worn by members of a mysterious cult who believe that Omni is the true God. It is typically worn when the members gather in their special temple.,,,BODY ARMOR,EQUIPS,Torso,,,,-
,M,,Kilas Tenabres (Male),https://drive.google.com/uc?export=view&id=1eNg0Kv1ms2oW6udZ5cpIjHvGZ2BpAmCz,Kilas Tenabres (Male),legendary,"An incredibly powerful armor, feared by all creatures on Earth. It possesses a multitude of abilities and is only held by individuals who attain the status of Grandknight, the highest rank within the knight hierarchy.",,,BODY ARMOR,EQUIPS,Torso,,,,-
