id,category_id,gender_id,name,description,image,front_image,back_image,mask_image,rarity,effects,story_notes
1,1,,Curse Aura,,https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/AURA/IMG_2785-u.webp,,,,epic,,
2,1,1,Diviner Aura,,https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/AURA/IMG_2786-f.webp,,,,rare,,
3,1,1,Majesty Aura,,https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/AURA/IMG_2787-f.webp,,,,rare,,
4,1,2,Cryptic Power Aura,,https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/AURA/IMG_2788-m.webp,,,,rare,,
5,1,2,Shaman Aura,,https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/AURA/IMG_2789-m.webp,,,,epic,,
6,1,2,Peacefulness Aura,,https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/AURA/IMG_2790-m.webp,,,,rare,,
7,1,,Warrior Aura,,https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/AURA/IMG_3422-u.webp,,,,rare,,
8,1,,Atrocity Aura,,https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/AURA/IMG_3423-u.webp,,,,legendary,,
9,1,,Aggressive Aura,,https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/AURA/IMG_3424-u.webp,,,,epic,,
10,1,,Berserk Aura,,https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/AURA/IMG_3425-u.webp,,,,epic,,
11,1,,Esotericism Aura,,https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/AURA/IMG_3426-u.webp,,,,epic,,
12,2,,Wraithaxe,An axe said to be able to cut shadows.,https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/BACK ACCESSORIES/IMG_3401-u.webp,,,,epic,,
13,2,,Starry Halberd,"A golden spear with not just one, but seven spearheads. It can be used to pierce and simultaneously tear the skin of opponents.",https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/BACK ACCESSORIES/IMG_3402-u.webp,,,,epic,,
14,2,,Misery Dark Serpent,Mid-tier sword used as a secondary weapon by ninjas.,https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/BACK ACCESSORIES/IMG_3403-u.webp,,,,epic,,
15,2,,Erosion Staff,"A dangerous magic staff that can only be used for malevolent purposes, specifically to cause natural disasters. Only a chosen wielder can activate its power.",https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/BACK ACCESSORIES/IMG_3404-u.webp,,,,epic,,
16,2,,Quartz Yucca,"A rare yucca leaf that grows on quartz rocks. It is often used by knights who hunt in dark places. With this accessory, they don't have to fear losing their way because of its glowing green light in the dark.",https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/BACK ACCESSORIES/IMG_3754.webp,,,,epic,,
17,2,,Seaborn Carapace (Rear View),A shell taken from the defeated Hatchy Speartle.,https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/BACK ACCESSORIES/IMG_3759-u.webp,,,,epic,,
18,2,,Aximo,"A diminutive axe of reserve, adorned with a touch of elegance on its metal edge, designed to please the eye.",https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/BACK ACCESSORIES/IMG_3868-u.webp,,,,rare,,
19,2,,Vigilia Backshield,A backshield placed on the back is usually worn by ordinary soldiers.,https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/BACK ACCESSORIES/IMG_3869-u.webp,,,,rare,,
20,2,,Crux,"A conventional sword with a curved quillon, characterized by its elegant simplicity.",https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/BACK ACCESSORIES/IMG_3870-u.webp,,,,rare,,
21,2,,Rigor Backshield,"A lighter and more flexible backshield, surpassing the Vigilia Backshield in its agility, yet commanding a slightly higher price.",https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/BACK ACCESSORIES/IMG_3871-u.webp,,,,rare,,
22,2,1,Demonplate Chains,,https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/BACK ACCESSORIES/Lunar Demonplate-m.webp,,,,rare,,
23,2,,Fiery Reaper,Fiery scythe gained after spiritbonding with Scythepaw,https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/BACK ACCESSORIES/Schyte-u.webp,,,,epic,,Hatchy Scythepaw
24,2,,Seaborn Carapace,A shell taken from the defeated Hatchy Speartle.,https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/BACK ACCESSORIES/Shell-u.webp,,,,epic,,Hatchy Speartle
25,2,,Candlekin Head Shield,"A head taken from the defeated Hatchy Candlekin, slightly modified to become a shield.",https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/BACK ACCESSORIES/Shield-u.webp,,,,epic,,Hatchy Candlekin
26,2,,Green Gladius,"An accessory taken from the defeated Hatchy Carathorn, slightly modified to become an additional weapon for protecting the back.",https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/BACK ACCESSORIES/Spike-u.webp,,,,epic,,
27,2,,Hypnos Staff,A magic staff taken from the defeated Hatchy Hypnoshade.,https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/BACK ACCESSORIES/Staff-u.webp,,,,epic,,
28,2,,Ephises,A sword taken from the defeated Hatchy Emberslash.,https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/BACK ACCESSORIES/Sword-u.webp,,,,epic,,Hatchy Emberslash
29,2,,Sixsoul Tail,A tail taken from the defeated Hatchy Seraph.,https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/BACK ACCESSORIES/Tail-u.webp,,,,epic,,Hatchy Seraph
30,2,,Entwined Hand Tendril,An accessory taken from the defeated Hatchy Mancia.,https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/BACK ACCESSORIES/Tendril-u.webp,,,,epic,,
31,2,,Courageuse Totem,A totem taken from the defeated Hatchy Tronk.,https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/BACK ACCESSORIES/Totem-u.webp,,,,epic,,Hatchy Tronk
32,3,,Courage Yellow,,https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/BACKGROUND/BGx-u.webp,,,,common,,
33,3,,Prudence Lime,,https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/BACKGROUND/BGxx-u.webp,,,,common,,
34,3,,Enigmatic Red,,https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/BACKGROUND/BGxxx-u.webp,,,,common,,
35,3,,Magical Purple,,https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/BACKGROUND/IMG_2799-u.webp,,,,common,,
36,3,,Chivalry Orange,,https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/BACKGROUND/IMG_2800-u.webp,,,,common,,
37,3,,Heroism Orange,,https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/BACKGROUND/IMG_2801-u.webp,,,,common,,
38,3,,Spiritual Blue,,https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/BACKGROUND/IMG_2802-u.webp,,,,common,,
39,4,2,Aegis Exosuit,A Robe made of special silk that can store light energy. provides resistance to dark element,https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/BODY ARMOR/Aegis Exosuit-m-front.webp,,https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/BODY ARMOR/Aegis Exosuit-m-back.webp,,rare,provides resistance to dark element,Light silk robe
40,4,2,Akki Armor,capable of minimizing the damage inflicted by Void-element,https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/BODY ARMOR/Akki Armor-m-front.webp,,https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/BODY ARMOR/Akki Armor-m-back.webp,,epic,resistance to void,
41,4,2,Arcane Raiment,"Arcane Raiment is often used by wizard who want greater access to magic energy. Using this outfit, a wizard will gain greater power than usual. However, it should be noted, that without his Arcane necklace, his powers would not have appeared.",https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/BODY ARMOR/Arcane Raiment-m-front.webp,,https://d2pdcsofh1vza7.cloudfront.net/masters/ITEMS/BODY ARMOR/Arcane Raiment-m-back.webp,,epic,,
